FEATURES_TXT_BEGIN_0 0 100 14 d_0 d_1 d_2 d_3 d_4 d_5 d_6 lm_0 w_0 tm_0 tm_1 tm_2 tm_3 tm_4 
-8 -2.69081 -3.90712 -1.94591 -3.62965 -5.95591 -0.336472 -77.4024 -13 -20.5674 -24.7801 -7.08174 -13.8927 7.99917 
-8 -2.17998 -3.2452 -1.48225 -3.09124 -5.19378 -1.12493 -75.03 -14 -21.8501 -24.133 -8.92229 -17.0472 7.99917 
-4 -3.53811 -0.847299 -1.56651 -4.87137 -3.24787 -0.336472 -79.0489 -13 -20.5674 -24.7801 -7.08174 -13.8927 7.99917 
-12 -0.779089 -6.53179 -3.74618 -1.15745 -8.29129 -3.59713 -76.3071 -14 -19.6727 -23.2971 -9.48395 -14.7205 8.99907 
-12 -0.268264 -5.86986 -3.28252 -0.619038 -7.52915 -4.38559 -73.9347 -15 -20.9554 -22.6501 -11.3245 -17.875 8.99907 
-8 -2.69081 -3.60769 -1.94591 -3.62965 -6.17663 -0.336472 -77.1119 -14 -21.1807 -24.7801 -8.93145 -15.6318 7.99917 
-8 -1.62639 -3.47196 -3.36678 -2.39917 -5.58324 -3.59713 -77.9536 -14 -19.6727 -23.2971 -9.48395 -14.7205 8.99907 
-8 -2.98781 -3.2452 -1.4444 -3.33919 -5.19378 -1.12493 -75.03 -14 -22.4743 -24.133 -9.83475 -17.0472 8.99907 
-14 -0.779089 -7.41909 -3.44769 -1.15745 -11.461 -2.07107 -71.8323 -13 -26.9881 -30.1469 -10.1771 -12.6573 8.99907 
-14 -0.268264 -6.75716 -2.98402 -0.619038 -10.6988 -2.85953 -69.4599 -14 -28.2708 -29.4999 -12.0176 -15.8119 8.99907 
-10 -1.62639 -4.35927 -3.06828 -2.39917 -8.75293 -2.07107 -73.4788 -13 -26.9881 -30.1469 -10.1771 -12.6573 8.99907 
-8 -4.12589 -5.45772 -1.01435 -3.09124 -4.34381 -0.719196 -70.759 -13 -22.0672 -24.133 -8.92229 -14.1574 7.99917 
-4 -3.53811 -0.847299 -1.12714 -4.79972 -3.24787 -0.336472 -79.8792 -13 -20.3538 -24.0602 -7.56131 -13.7183 7.99917 
-8 -4.74493 -3.90712 -1.94591 -3.93854 -5.95591 -0.336472 -75.3924 -12 -20.9439 -24.133 -7.26406 -12.4183 7.99917 
-12 -0.779089 -6.23236 -3.74618 -1.15745 -8.51201 -3.59713 -76.0166 -15 -20.286 -23.2971 -11.3337 -16.4596 8.99907 
-4 -5.59223 -0.847299 -1.56651 -5.18025 -3.24787 -0.336472 -77.0388 -12 -20.9439 -24.133 -7.26406 -12.4183 7.99917 
-12 -1.07609 -5.86986 -3.24467 -0.866992 -7.52915 -4.38559 -73.9347 -15 -21.5796 -22.6501 -12.237 -17.875 9.99896 
0 -7.09346 0 0 -6.08639 0 0 -79.1514 -13 -17.9697 -24.0602 -6.21663 -13.7183 6.99927 
-14 -0.779089 -7.11966 -3.44769 -1.15745 -11.6817 -2.07107 -71.5418 -14 -27.6013 -30.1469 -12.0268 -14.3964 8.99907 
-12 -0.779089 -6.53179 -3.91431 -1.15745 -8.93485 -3.59713 -78.4329 -13 -19.7781 -23.2971 -8.79081 -11.8306 8.99907 
-12 -0.268264 -5.86986 -3.45064 -0.619038 -8.17271 -4.38559 -76.0605 -14 -21.0608 -22.6501 -10.6314 -14.9852 8.99907 
-14 -1.07609 -6.75716 -2.94618 -0.866992 -10.6988 -2.85953 -69.4599 -14 -28.895 -29.4999 -12.9301 -15.8119 9.99896 
-12 -2.21417 -8.08238 -2.81462 -0.619038 -6.67918 -3.97985 -69.6637 -14 -21.1725 -22.6501 -11.3245 -14.9852 8.99907 
-8 -1.62639 -3.47196 -2.92741 -2.32753 -5.58324 -3.59713 -78.7839 -14 -19.4591 -22.5773 -9.96352 -14.5461 8.99907 
-12 -2.83321 -6.53179 -3.74618 -1.46634 -8.29129 -3.59713 -74.2971 -13 -20.0492 -22.6501 -9.66627 -13.2461 8.99907 
-8 -1.62639 -3.47196 -3.5349 -2.39917 -6.2268 -3.59713 -80.0794 -13 -19.7781 -23.2971 -8.79081 -11.8306 8.99907 
-12 -0.779089 -6.53179 -4.29499 -1.15745 -9.51128 -3.59713 -77.5741 -13 -20.0161 -23.722 -9.35042 -12.5238 8.99907 
-12 -0.268264 -5.86986 -3.83132 -0.619038 -8.74914 -4.38559 -75.2016 -14 -21.2988 -23.075 -11.191 -15.6783 8.99907 
-8 -4.74493 -3.60769 -1.94591 -3.93854 -6.17663 -0.336472 -75.1019 -13 -21.5572 -24.133 -9.11377 -14.1574 7.99917 
-8 -2.69081 -3.90712 -2.14658 -3.62965 -5.64576 -0.336472 -77.3834 -14 -21.6907 -24.7801 -8.73997 -15.6318 7.99917 
-8 -3.68051 -3.47196 -3.36678 -2.70805 -5.58324 -3.59713 -75.9435 -13 -20.0492 -22.6501 -9.66627 -13.2461 8.99907 
-8 -4.93372 -5.45772 -0.976511 -3.33919 -4.34381 -0.719196 -70.759 -13 -22.6914 -24.133 -9.83475 -14.1574 8.99907 
-8 -5.38571 -3.90712 -1.94591 -4.18649 -5.95591 -0.336472 -75.3924 -12 -21.5681 -24.133 -8.17653 -12.4183 8.99907 
-14 -2.21417 -8.96969 -2.51613 -0.619038 -9.84887 -2.45379 -65.1889 -13 -28.4879 -29.4999 -12.0176 -12.922 8.99907 
-8 -1.62639 -3.47196 -3.91558 -2.39917 -6.80323 -3.59713 -79.2205 -13 -20.0161 -23.722 -9.35042 -12.5238 8.99907 
