FEATURES_TXT_BEGIN_0 0 100 14 d_0 d_1 d_2 d_3 d_4 d_5 d_6 lm_0 w_0 tm_0 tm_1 tm_2 tm_3 tm_4 
-4 -3.20705 0 -0.728737 -2.25479 0 -1.51205 -85.1475 -14 -7.63731 -12.065 -7.73376 -15.3362 6.99927 
0 -6.19274 0 0 -5.66704 0 0 -84.4936 -14 -7.63731 -12.065 -7.73376 -15.3362 6.99927 
0 -7.7882 0 0 -3.82803 0 0 -89.6904 -15 -6.0199 -11.6594 -7.06082 -19.4024 6.99927 
-4 -3.20705 0 -0.728737 -3.35341 0 -1.51205 -84.9029 -14 -7.63731 -12.1051 -7.73376 -16.3082 6.99927 
-4 -2.87058 -1.94591 -0.728737 -1.63576 -0.367724 -1.29198 -85.5376 -14 -7.63731 -12.065 -7.73376 -15.3362 6.99927 
-4 -2.10844 0 -0.728737 -2.25479 0 -1.51205 -86.9557 -15 -7.63731 -12.065 -7.73376 -24.0519 6.99927 
0 -6.19274 0 0 -6.76566 0 0 -84.2489 -14 -7.63731 -12.1051 -7.73376 -16.3082 6.99927 
-10 -0.750315 0 -2.08686 -1.74397 -1.60944 -1.51205 -85.2174 -14 -7.63731 -12.065 -7.73376 -15.3362 6.99927 
-4 -5.23722 0 -0.728737 -1.88707 0 -1.51205 -83.1375 -13 -7.86045 -12.065 -8.24458 -10.9857 6.99927 
-10 -0.750315 0 -2.08686 -1.74397 -1.60944 -1.51205 -84.8429 -14 -7.63731 -12.1051 -7.73376 -16.3082 6.99927 
0 -7.7882 0 0 -4.92664 0 0 -89.4458 -15 -6.0199 -11.6995 -7.06082 -20.3743 6.99927 
0 -5.09412 0 0 -5.66704 0 0 -86.3017 -15 -7.63731 -12.065 -7.73376 -24.0519 6.99927 
-4 -2.87058 -1.94591 -0.728737 -2.73437 -0.367724 -1.29198 -85.2929 -14 -7.63731 -12.1051 -7.73376 -16.3082 6.99927 
-4 -3.20705 0 -0.802504 -2.99881 0 -1.51205 -85.4106 -13 -7.81393 -11.3749 -8.04391 -14.0322 6.99927 
0 -4.89345 0 0 -5.85203 0 0 -84.9583 -13 -7.97823 -11.7702 -7.9569 -14.5918 6.99927 
0 -6.68958 0 0 -3.82803 0 0 -91.4986 -16 -6.0199 -11.6594 -7.06082 -28.118 6.99927 
-4 -4.80251 0 -0.728737 -1.85087 0 -2.78501 -90.3444 -15 -6.0199 -11.6594 -7.06082 -19.4024 6.99927 
-4 -4.80251 0 -0.728737 -1.85087 0 -2.78501 -71.6777 -14 -13.2698 -19.776 -7.06082 -16.1835 6.99927 
-6 -3.736 0 -1.35812 -5.15622 -1.60944 0 -84.5634 -14 -7.63731 -12.065 -7.73376 -15.3362 6.99927 
0 -8.22291 0 0 -5.29932 0 0 -82.4835 -13 -7.86045 -12.065 -8.24458 -10.9857 6.99927 
-7 -2.87058 -1.94591 -1.14711 -1.52518 -0.367724 -2.13109 -82.5898 -15 -7.57277 -12.065 -8.83237 -17.0046 6.99927 
-6 -3.736 0 -1.35812 -5.15622 -1.60944 0 -84.1889 -14 -7.63731 -12.1051 -7.73376 -16.3082 6.99927 
0 -6.48891 0 0 -4.01302 0 0 -90.1551 -14 -6.36083 -11.3646 -7.28396 -18.658 6.99927 
-4 -1.77197 -1.94591 -0.728737 -1.63576 -0.367724 -1.29198 -87.3457 -15 -7.63731 -12.065 -7.73376 -24.0519 6.99927 
-4 -3.20705 0 -1.42601 -2.43979 0 -1.51205 -85.6122 -13 -7.97823 -11.7702 -7.9569 -14.5918 6.99927 
-6 -5.33146 0 -1.35812 -3.3172 -1.60944 0 -89.7602 -15 -6.0199 -11.6594 -7.06082 -19.4024 6.99927 
-6 -3.96919 0 -2.56495 -3.47109 0 -2.13109 -82.5898 -15 -7.57277 -12.065 -8.83237 -17.0046 6.99927 
-4 -5.23722 0 -0.728737 -2.98568 0 -1.51205 -82.8929 -13 -7.86045 -12.1051 -8.24458 -11.9576 6.99927 
-7 -2.87058 -1.94591 -0.728737 -1.63576 -0.367724 -2.13109 -84.6436 -14 -7.63731 -12.065 -7.73376 -15.3362 6.99927 
-6 -5.33146 0 -1.35812 -3.3172 -1.60944 0 -89.3857 -15 -6.0199 -11.6995 -7.06082 -20.3743 6.99927 
0 -7.7882 0 0 -3.82803 0 0 -73.6379 -14 -13.2698 -19.776 -7.06082 -16.1835 6.99927 
-10 -0.413843 -1.94591 -2.08686 -1.12493 -1.97716 -1.29198 -85.6074 -14 -7.63731 -12.065 -7.73376 -15.3362 6.99927 
-4 -5.68921 -0.0769609 -0.880359 -2.76562 -0.237473 -0.92426 -87.6803 -14 -9.02789 -11.6594 -8.02935 -15.0519 7.99917 
-6 -3.96919 0 -2.14658 -3.58167 0 -2.13109 -84.6436 -14 -7.63731 -12.065 -7.73376 -15.3362 6.99927 
-4 -4.17446 0 -0.728737 -2.31841 0 -1.51205 -85.1475 -14 -7.89475 -12.065 -9.04102 -15.3362 7.99917 
-10 -0.413843 -1.94591 -2.08686 -1.12493 -1.97716 -1.29198 -85.2329 -14 -7.63731 -12.1051 -7.73376 -16.3082 6.99927 
-4 -4.13861 0 -0.728737 -1.88707 0 -1.51205 -84.9457 -14 -7.86045 -12.065 -8.24458 -19.7013 6.99927 
0 -6.42593 0 0 -6.41106 0 0 -84.7567 -13 -7.81393 -11.3749 -8.04391 -14.0322 6.99927 
-10 -0.583261 -1.60944 -1.82735 -0.528946 -1.94591 -2.02287 -82.7965 -13 -7.86045 -12.1051 -8.24458 -11.9576 6.99927 
