SCORES_TXT_BEGIN_0 0 100 9 BLEU
6 14 0 13 0 12 0 11 13 
6 14 0 13 0 12 0 11 13 
5 15 0 14 0 13 0 12 13 
5 14 0 13 0 12 0 11 13 
6 14 2 13 1 12 0 11 13 
6 15 0 14 0 13 0 12 13 
5 14 0 13 0 12 0 11 13 
6 14 0 13 0 12 0 11 13 
5 13 0 12 0 11 0 10 13 
5 14 0 13 0 12 0 11 13 
4 15 0 14 0 13 0 12 13 
6 15 0 14 0 13 0 12 13 
5 14 2 13 1 12 0 11 13 
6 13 0 12 0 11 0 10 13 
6 13 0 12 0 11 0 10 13 
5 16 0 15 0 14 0 13 13 
5 15 0 14 0 13 0 12 13 
5 14 0 13 0 12 0 11 13 
6 14 0 13 0 12 0 11 13 
5 13 0 12 0 11 0 10 13 
6 15 1 14 0 13 0 12 13 
5 14 0 13 0 12 0 11 13 
5 14 0 13 0 12 0 11 13 
6 15 2 14 1 13 0 12 13 
6 13 0 12 0 11 0 10 13 
5 15 0 14 0 13 0 12 13 
6 15 0 14 0 13 0 12 13 
4 13 0 12 0 11 0 10 13 
6 14 1 13 0 12 0 11 13 
4 15 0 14 0 13 0 12 13 
5 14 0 13 0 12 0 11 13 
6 14 2 13 1 12 0 11 13 
4 14 0 13 0 12 0 11 13 
6 14 0 13 0 12 0 11 13 
6 14 0 13 0 12 0 11 13 
5 14 2 13 1 12 0 11 13 
5 14 0 13 0 12 0 11 13 
6 13 0 12 0 11 0 10 13 
4 13 0 12 0 11 0 10 13 
5 13 0 12 0 11 0 10 13 
5 13 0 12 0 11 0 10 13 
6 14 0 13 0 12 0 11 13 
6 15 0 14 0 13 0 12 13 
4 14 0 13 0 12 0 11 13 
4 15 0 14 0 13 0 12 13 
5 14 0 13 0 12 0 11 13 
4 14 0 13 0 12 0 11 13 
4 13 0 12 0 11 0 10 13 
5 13 0 12 0 11 0 10 13 
6 15 0 14 0 13 0 12 13 
6 13 2 12 1 11 0 10 13 
5 15 1 14 0 13 0 12 13 
6 15 1 14 0 13 0 12 13 
4 14 0 13 0 12 0 11 13 
4 13 0 12 0 11 0 10 13 
5 16 0 15 0 14 0 13 13 
6 14 0 13 0 12 0 11 13 
5 15 0 14 0 13 0 12 13 
5 13 0 12 0 11 0 10 13 
6 14 0 13 0 12 0 11 13 
5 15 0 14 0 13 0 12 13 
6 14 0 13 0 12 0 11 13 
5 16 0 15 0 14 0 13 13 
5 14 1 13 0 12 0 11 13 
5 15 0 14 0 13 0 12 13 
6 14 1 13 0 12 0 11 13 
5 14 0 13 0 12 0 11 13 
4 14 0 13 0 12 0 11 13 
6 13 2 12 1 11 0 10 13 
3 14 0 13 0 12 0 11 13 
5 14 0 13 0 12 0 11 13 
6 16 1 15 0 14 0 13 13 
5 15 0 14 0 13 0 12 13 
4 13 0 12 0 11 0 10 13 
4 13 0 12 0 11 0 10 13 
6 13 0 12 0 11 0 10 13 
5 12 0 11 0 10 0 9 13 
5 14 0 13 0 12 0 11 13 
6 13 0 12 0 11 0 10 13 
5 14 0 13 0 12 0 11 13 
5 12 0 11 0 10 0 9 13 
4 13 0 12 0 11 0 10 13 
6 14 0 13 0 12 0 11 13 
6 15 0 14 0 13 0 12 13 
5 14 0 13 0 12 0 11 13 
6 16 0 15 0 14 0 13 13 
5 15 0 14 0 13 0 12 13 
5 13 0 12 0 11 0 10 13 
5 14 0 13 0 12 0 11 13 
5 13 0 12 0 11 0 10 13 
6 15 1 14 0 13 0 12 13 
5 13 0 12 0 11 0 10 13 
5 13 0 12 0 11 0 10 13 
5 15 0 14 0 13 0 12 13 
6 14 0 13 0 12 0 11 13 
4 15 0 14 0 13 0 12 13 
3 14 0 13 0 12 0 11 13 
5 13 2 12 1 11 0 10 13 
6 13 0 12 0 11 0 10 13 
4 14 0 13 0 12 0 11 13 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 1 100 9 BLEU
30 53 15 52 9 51 4 50 47 
29 51 15 50 9 49 4 48 47 
31 54 16 53 9 52 4 51 47 
30 52 16 51 9 50 4 49 47 
30 53 16 52 9 51 4 50 47 
29 51 16 50 9 49 4 48 47 
30 52 15 51 9 50 4 49 47 
31 54 17 53 9 52 4 51 47 
29 50 15 49 9 48 4 47 47 
30 52 17 51 9 50 4 49 47 
31 53 16 52 9 51 4 50 47 
30 51 16 50 9 49 4 48 47 
30 53 15 52 9 51 4 50 47 
29 51 15 50 9 49 4 48 47 
30 54 15 53 8 52 4 51 47 
